 Country,1990,2000,2011,2012,2013,2014,2015,2016,2017,2018,,2019,2020
Arab World,45.3,56.2,67.3,68.2,66.9,67.3,68.0,68.4,69.3,69.8,,..,..
Caribbean small states,73.6,86.8,92.6,90.9,88.9,88.9,87.7,89.6,88.8,89.0,,..,..
Central Europe and the Baltics,91.9,91.8,96.5,96.7,101.9,101.4,101.3,100.9,101.4,101.3,,..,..
Early-demographic dividend,34.9,46.5,65.9,67.9,69.6,72.8,73.5,74.9,74.4,75.0,,..,..
East Asia & Pacific,39.8,60.9,84.6,84.8,85.4,84.8,84.9,84.5,85.0,85.6,,..,..
East Asia & Pacific (excluding high income),34.3,57.5,82.8,83.0,83.6,82.9,83.0,82.6,83.3,84.5,,..,..
East Asia & Pacific (IDA & IBRD),33.6,57.1,82.7,82.8,83.5,82.8,82.9,82.5,83.1,84.4,,..,..
Euro area,94.6,102.7,108.1,107.6,108.3,107.8,107.9,107.9,107.9,108.0,,..,..
Europe & Central Asia,90.5,93.9,97.1,97.5,103.4,104.0,104.0,104.4,104.7,104.4,,..,..
Europe & Central Asia (excluding high income),88.0,86.1,89.8,91.0,95.7,96.9,97.1,97.6,98.0,97.5,,..,..
Europe & Central Asia (IDA & IBRD),88.1,87.1,90.3,91.4,96.4,97.4,97.6,98.2,98.6,98.1,,..,..
European Union,93.2,101.3,104.0,103.4,110.4,110.4,110.2,110.3,110.5,110.6,,..,..
Fragile and conflict affected situations,21.3,26.4,38.7,39.5,39.1,39.4,40.6,41.3,42.3,42.4,,..,..
Heavily indebted poor countries (HIPC),14.6,17.7,33.0,34.3,35.6,36.0,36.6,36.8,37.4,37.9,,..,..
High income,91.9,99.4,101.3,101.8,105.2,105.6,105.9,106.1,106.3,105.0,,..,..
IBRD only,44.8,59.5,78.7,79.8,81.8,83.8,83.6,84.1,83.6,84.0,,..,..
IDA & IBRD total,39.6,51.8,67.2,68.3,70.0,71.1,71.2,71.5,71.1,71.5,,..,..
IDA blend,27.8,29.0,41.8,43.2,46.2,44.1,45.5,44.6,44.4,45.4,,..,..
IDA only,16.6,26.7,39.8,41.3,42.1,42.8,43.9,45.1,45.6,46.2,,..,..
IDA total,20.3,27.5,40.5,41.9,43.5,43.2,44.4,44.9,45.2,45.9,,..,..
Late-demographic dividend,50.7,70.5,89.1,88.7,90.9,90.0,89.2,88.8,89.0,89.9,,..,..
Latin America & Caribbean,79.2,88.0,92.8,92.3,96.9,97.1,97.1,97.8,97.8,97.9,,..,..
Latin America & Caribbean (excluding high income),79.2,88.1,92.9,92.4,96.9,97.0,97.0,97.8,97.8,97.9,,..,..
Latin America & Caribbean (IDA & IBRD),78.8,88.1,92.9,92.3,97.0,97.1,97.1,97.9,97.8,97.9,,..,..
Least developed countries: UN classification,13.3,24.5,36.9,38.5,40.1,41.2,42.3,43.6,44.1,44.5,,..,..
Low & middle income,39.5,51.5,67.1,68.2,69.9,71.0,71.1,71.4,71.0,71.4,,..,..
Low income,17.6,19.6,35.6,36.8,36.6,36.8,36.9,37.1,37.5,37.7,,..,..
Lower middle income,32.0,41.5,59.8,62.0,63.9,66.4,67.3,68.3,67.6,68.2,,..,..
Middle East & North Africa,48.4,65.0,75.8,76.8,75.1,75.9,76.7,77.7,78.3,78.9,,..,..
Middle East & North Africa (excluding high income),47.4,63.7,73.3,74.1,71.9,72.8,73.6,74.7,75.2,75.8,,..,..
Middle East & North Africa (IDA & IBRD),47.1,63.5,73.0,73.8,71.5,72.5,73.2,74.3,74.8,75.4,,..,..
Middle income,41.4,54.9,71.7,72.9,75.0,76.3,76.5,77.0,76.6,77.1,,..,..
North America,92.4,95.6,96.8,97.7,97.5,98.6,99.3,99.7,100.0,100.0,,..,..
OECD members,85.3,94.5,99.0,99.2,103.7,104.8,105.5,106.0,106.6,105.6,,..,..
Other small states,43.5,53.2,66.6,67.4,67.7,68.5,68.8,69.2,69.5,69.4,,..,..
Pacific island small states,62.4,64.8,76.8,76.2,76.0,..,..,..,..,..,,..,..
Post-demographic dividend,93.9,100.7,101.6,102.0,105.1,105.6,105.4,105.8,105.7,104.3,,..,..
Pre-demographic dividend,16.3,18.7,33.5,35.1,37.9,36.5,37.5,36.9,37.4,37.7,,..,..
Small states,52.6,60.7,72.1,72.3,72.1,72.6,72.5,73.0,73.0,72.9,,..,..
South Asia,26.1,36.7,59.1,61.7,63.5,68.2,68.5,70.2,68.8,69.4,,..,..
South Asia (IDA & IBRD),26.1,36.7,59.1,61.7,63.5,68.2,68.5,70.2,68.8,69.4,,..,..
Sub-Saharan Africa,20.0,23.0,36.9,38.5,41.2,40.1,40.7,40.2,40.4,40.7,,..,..
Sub-Saharan Africa (excluding high income),19.9,23.0,36.9,38.5,41.2,40.1,40.7,40.2,40.4,40.7,,..,..
Sub-Saharan Africa (IDA & IBRD),20.0,23.0,36.9,38.5,41.2,40.1,40.7,40.2,40.4,40.7,,..,..
Upper middle income,51.0,70.9,90.0,89.8,92.4,92.2,91.6,91.5,91.7,92.4,,..,..
World,46.9,57.4,71.1,72.0,73.9,74.9,74.9,75.2,74.9,75.1,,..,..
Afghanistan,..,..,36.6,38.1,37.8,37.3,36.8,37.3,38.6,40.0,,..,..
Albania,85.9,69.8,89.4,91.1,94.2,94.8,95.1,94.2,94.7,95.7,,..,..
Algeria,51.7,66.7,101.5,..,..,..,..,..,..,..,,..,..
American Samoa,88.3,..,..,..,..,..,..,..,..,..,,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..
Angola,..,11.1,20.7,..,..,..,..,39.7,..,..,,..,..
Antigua and Barbuda,..,76.6,111.6,117.6,..,107.3,109.3,..,107.7,109.1,,..,..
Argentina,..,98.3,106.6,108.0,109.0,109.6,110.2,110.9,111.0,..,,..,..
Armenia,..,96.5,93.3,..,87.7,88.4,88.3,..,..,84.8,,..,..
Aruba,..,98.1,99.7,112.1,..,..,..,..,..,..,,..,..
Australia,..,..,..,..,..,..,145.9,141.9,141.2,..,,..,..
